Name;Longitude;Latitude;PosErrorDirection;PosErrorLambda1;PosErrorLambda2;IsDirected;Direction;ConfInt;Power;MaxPowerUsedForTowerEstimationbyPE;TowerID;MCC;MNC;TAC;CellIdentity;NRARFCN;PhyCellID;SSBIndex;NCI
gNodeB - ID:69193923/233 PCI:572;103.962667;1.323166;-2.862557;0.238118;0.162129;1;20;119;30;-78.8;58;525;5;5507;13681641;637440;572;3;17713644521
gNodeB - ID:69193923/234 PCI:571;103.962667;1.323166;-2.862557;0.238118;0.162129;1;200;118;30;-78.8;58;525;5;5507;13681642;637440;571;2;17713644522
gNodeB - ID:69758723/233 PCI:188;103.894099;1.295821;-15.392302;0.386986;0.264595;1;270;319;30;-56.0;300;525;5;5512;7275497;637440;188;4;17858233321
gNodeB - ID:80173123/234 PCI:569;103.964762;1.329063;-159.052734;1.867362;1.613425;1;170;216;30;-83.2;69;525;5;5507;5784554;637440;569;0;20524319722
gNodeB - ID:80179523/234 PCI:446;103.823745;1.265576;-1.543140;1.580280;1.167617;1;60;360;30;-52.3;488;525;5;5511;7422954;637440;446;1;20525958122
gNodeB - ID:80813123/233 PCI:473;103.960273;1.333052;-46.489162;0.220616;0.170891;1;290;198;30;-62.0;32;525;5;5507;1852393;637440;473;5;20688159721
gNodeB - ID:80813123/234 PCI:472;103.960273;1.333052;-46.489162;0.220616;0.170891;1;50;212;30;-62.0;32;525;5;5507;1852394;637440;472;0;20688159722
gNodeB - ID:81217923/233 PCI:638;103.939215;1.310214;-15.581734;10.444783;10.161869;1;0;360;30;-44.9;192;525;5;5502;4817897;637440;638;3;20791788521
gNodeB - ID:81217923/234 PCI:637;103.938135;1.309932;-95.173683;2.320889;2.259726;1;70;360;30;-55.2;171;525;5;5502;4817898;637440;637;2;20791788522
gNodeB - ID:81217923/235 PCI:636;103.938352;1.310018;-16.535213;7.998538;7.633518;1;0;360;30;-55.8;209;525;5;5502;4817899;637440;636;0;20791788523
gNodeB - ID:81261443/235 PCI:499;103.896654;1.296691;-23.836048;0.248126;0.206854;1;260;350;30;-72.8;64;525;5;5502;15959019;637440;499;1;20802929643
