Time,Operator,Technology,SS-RSRP,SS-RSRQ,IP Thrpt UL,Network Thrpt UL,Lat,Long,PCI,Speed o.g.
40:10.6,SGP-M1,5G-NR,-83.5,-10.8,29.773,30.65,1.300546,103.780993,344,22
40:11.1,SGP-M1,5G-NR,-82.4,-10.7,29.996,30.899,1.300571,103.780949,344,20
40:11.6,SGP-M1,5G-NR,-81.2,-10.6,29.852,31.032,1.300585,103.780933,344,18
40:12.0,SGP-M1,5G-NR,-78.6,-10.5,29.83,30.536,1.300598,103.780916,344,17
40:13.0,SGP-M1,5G-NR,-83.8,-10.7,29.926,31.06,1.300598,103.780916,344,17
40:13.4,SGP-M1,5G-NR,-81.8,-10.5,29.828,30.962,1.300615,103.780885,344,12
40:14.0,SGP-M1,5G-NR,-81.1,-10.6,29.965,31.106,1.300615,103.780885,344,12
40:14.3,SGP-M1,5G-NR,-82,-10.7,29.965,30.477,1.300624,103.780865,344,10
40:15.0,SGP-M1,5G-NR,-80.2,-10.6,29.8,30.192,1.300624,103.780865,344,10
40:15.1,SGP-M1,5G-NR,-80.6,-10.5,2.898,2.807,1.300636,103.780843,344,9
40:16.0,SGP-M1,5G-NR,-79.5,-10.5,29.827,30.261,1.300636,103.780843,344,9
40:16.5,SGP-M1,5G-NR,-78.5,-10.4,29.899,30.999,1.30065,103.780821,344,10
40:17.0,SGP-M1,5G-NR,-78.2,-10.4,29.829,33.915,1.300657,103.780807,344,11
40:17.5,SGP-M1,5G-NR,-69.9,-10.4,29.942,30.184,1.300663,103.780792,344,12
40:18.0,SGP-M1,5G-NR,-71.7,-10.5,29.902,31.227,1.300678,103.78076,344,14
40:18.5,SGP-M1,5G-NR,-70.4,-10.4,29.846,31.917,1.300687,103.780742,344,14
40:19.0,SGP-M1,5G-NR,-70.8,-10.4,29.879,30.347,1.300695,103.780724,344,15
40:19.6,SGP-M1,5G-NR,-76.6,-10.6,29.888,31.028,1.300695,103.780724,344,15
40:20.1,SGP-M1,5G-NR,-76.6,-10.4,29.865,30.436,1.300708,103.780691,344,13
40:20.6,SGP-M1,5G-NR,-75.6,-10.4,29.981,30.743,1.300716,103.780676,344,13
40:21.1,SGP-M1,5G-NR,-76.5,-10.5,29.809,31.489,1.300723,103.780661,344,13
40:21.5,SGP-M1,5G-NR,-72.4,-10.5,29.85,31.489,1.300732,103.780648,344,12
40:22.0,SGP-M1,5G-NR,-73.4,-10.4,29.979,30.926,1.30074,103.780635,344,11
40:22.5,SGP-M1,5G-NR,-74.2,-10.5,29.819,31.614,1.30074,103.780635,344,11
40:23.0,SGP-M1,5G-NR,-72.6,-10.4,29.87,30.233,1.300756,103.780616,344,9
40:23.5,SGP-M1,5G-NR,-75.3,-10.5,29.914,31.998,1.300756,103.780616,344,9
40:23.9,SGP-M1,5G-NR,-72,-10.4,29.914,32.142,1.300756,103.780616,344,9
40:24.1,SGP-M1,5G-NR,-71.4,-10.4,29.794,31.861,1.30077,103.780598,344,8
40:24.7,SGP-M1,5G-NR,-74.3,-10.6,30.026,30.039,1.30077,103.780598,344,8
40:25.2,SGP-M1,5G-NR,-73.9,-10.4,30.224,27.89,1.300785,103.780581,344,8
40:25.7,SGP-M1,5G-NR,-73.7,-10.7,5.599,8.568,1.3008,103.780575,344,9
40:26.3,SGP-M1,5G-NR,-69,-10.6,29.863,33.494,1.300814,103.780568,344,10
40:27.0,SGP-M1,5G-NR,-74.4,-10.6,29.95,30.589,1.300814,103.780568,344,10
40:27.1,SGP-M1,5G-NR,-71.9,-10.6,29.8,30.377,1.300851,103.780566,344,12
40:27.7,SGP-M1,5G-NR,-71.6,-10.5,29.967,30.115,1.30087,103.780573,344,12
40:28.1,SGP-M1,5G-NR,-69.1,-10.4,29.778,30.652,1.300888,103.780581,344,13
40:28.6,SGP-M1,5G-NR,-74.5,-10.5,30.001,31.595,1.300904,103.780595,344,13
40:29.0,SGP-M1,5G-NR,-73.5,-10.5,28.073,26.044,1.30092,103.78061,344,13
40:29.8,SGP-M1,5G-NR,-80.1,-10.9,31.586,27.666,1.30092,103.78061,344,13
40:30.3,SGP-M1,5G-NR,-79.8,-10.7,29.854,35.228,1.300945,103.780646,344,14
40:30.8,SGP-M1,5G-NR,-82.8,-12,29.946,31.823,1.300955,103.780664,344,13
40:31.3,SGP-M1,5G-NR,-83.5,-11.9,29.852,32.132,1.300965,103.780682,344,13
40:31.5,SGP-M1,5G-NR,-83.8,-12.1,29.893,29.137,1.300973,103.780695,344,11
40:31.9,SGP-M1,5G-NR,-84.2,-11.5,29.893,30.009,1.300973,103.780695,344,11
40:32.4,SGP-M1,5G-NR,-83.2,-11.2,29.87,30.537,1.30098,103.780708,344,9
40:33.0,SGP-M1,5G-NR,-83.3,-11.1,29.889,30.867,1.30098,103.780708,344,9
40:33.5,SGP-M1,5G-NR,-84.1,-11.6,29.918,30.208,1.300991,103.780724,344,5
40:33.9,SGP-M1,5G-NR,-83.4,-11.5,29.918,31.515,1.300991,103.780724,344,5
40:34.4,SGP-M1,5G-NR,-83.8,-11.9,29.755,31.177,1.300998,103.78074,344,5
40:35.0,SGP-M1,5G-NR,-84.3,-13.8,29.881,30.078,1.300998,103.78074,344,5
40:35.4,SGP-M1,5G-NR,-83.3,-14.7,29.881,29.567,1.301004,103.780756,344,5
40:36.0,SGP-M1,5G-NR,-79.8,-11.5,7.572,4.856,1.301004,103.780756,342,5
40:36.5,SGP-M1,5G-NR,-79.1,-11.6,29.944,30.413,1.30101,103.780773,342,5
40:37.0,SGP-M1,5G-NR,-80.3,-12.1,30.227,31.116,1.301014,103.780785,342,4
40:37.7,SGP-M1,5G-NR,-81.1,-12.7,29.548,30.319,1.301014,103.780785,342,4
40:38.3,SGP-M1,5G-NR,-84.6,-12.5,29.887,30.022,1.301018,103.780796,342,3
40:38.9,SGP-M1,5G-NR,-83.9,-13.1,29.88,30,1.301018,103.780796,342,3
40:39.4,SGP-M1,5G-NR,-80.4,-12.3,29.866,30.031,1.301023,103.780808,342,4
40:40.0,SGP-M1,5G-NR,-78.8,-11.7,29.928,30.597,1.301023,103.780808,342,4
40:40.5,SGP-M1,5G-NR,-78.2,-11.3,29.863,31.439,1.301029,103.780823,342,5
40:41.0,SGP-M1,5G-NR,-79.1,-11.6,29.901,30.327,1.301035,103.78084,342,7
40:41.8,SGP-M1,5G-NR,-83.5,-12.9,29.908,29.859,1.301035,103.78084,342,7
40:42.3,SGP-M1,5G-NR,-83.8,-12.8,29.846,30.064,1.301042,103.780861,342,8
40:42.9,SGP-M1,5G-NR,-91.3,-16.5,29.904,26.086,1.301042,103.780861,342,8
40:43.4,SGP-M1,5G-NR,-92.6,-14.4,28.511,25.748,1.30105,103.780881,342,8
40:44.0,SGP-M1,5G-NR,-85.9,-11,30.146,41.395,1.30105,103.780881,344,8
40:44.4,SGP-M1,5G-NR,-84.4,-11.2,30.146,30.675,1.301059,103.780902,344,8
40:45.0,SGP-M1,5G-NR,-84.1,-11.1,29.788,30.612,1.301059,103.780902,344,8
40:45.5,SGP-M1,5G-NR,-85.1,-11.1,29.86,30.486,1.301066,103.780923,344,8
40:46.0,SGP-M1,5G-NR,-84.2,-11.2,22.209,28.446,1.301069,103.780951,344,10
40:46.5,SGP-M1,5G-NR,-84.9,-11,12.873,8.593,1.301066,103.780967,344,11
40:47.0,SGP-M1,5G-NR,-84.8,-11,29.84,30.082,1.301063,103.780982,344,12
40:47.5,SGP-M1,5G-NR,-85.5,-10.8,29.84,31.377,1.301063,103.780982,344,12
40:48.0,SGP-M1,5G-NR,-85.7,-10.9,29.515,30.745,1.301054,103.780998,344,13
40:48.4,SGP-M1,5G-NR,-85.7,-11,29.888,30.745,1.301044,103.781014,344,15
40:48.7,SGP-M1,5G-NR,-85.5,-10.9,29.899,30.887,1.301028,103.781028,344,15
40:49.0,SGP-M1,5G-NR,-85.4,-10.8,29.901,30.328,1.301012,103.781042,344,16
40:49.5,SGP-M1,5G-NR,-85.9,-10.9,29.805,30.917,1.301012,103.781042,344,16
40:50.0,SGP-M1,5G-NR,-85.8,-10.8,29.929,30.634,1.300966,103.781078,344,18
40:50.5,SGP-M1,5G-NR,-84.2,-10.6,29.855,30.833,1.300945,103.781095,344,19
40:51.0,SGP-M1,5G-NR,-82.6,-10.5,29.927,30.492,1.300945,103.781095,344,19
40:51.5,SGP-M1,5G-NR,-84.5,-10.7,29.91,30.754,1.300923,103.781112,344,21
40:52.0,SGP-M1,5G-NR,-86.3,-10.8,29.872,30.651,1.300923,103.781112,344,21
40:52.5,SGP-M1,5G-NR,-85.6,-10.7,29.883,31.098,1.300879,103.781148,344,22
40:53.0,SGP-M1,5G-NR,-87.1,-10.9,29.964,30.647,1.300859,103.781171,344,22
40:53.5,SGP-M1,5G-NR,-87.6,-11.1,29.797,30.302,1.300838,103.781194,344,23
40:54.0,SGP-M1,5G-NR,-87.2,-10.9,29.949,30.594,1.300838,103.781194,344,23
40:54.5,SGP-M1,5G-NR,-86.8,-11.1,29.868,30.104,1.300794,103.781225,344,20
40:55.0,SGP-M1,5G-NR,-89.2,-11.7,29.798,31.065,1.300794,103.781225,344,20
40:55.5,SGP-M1,5G-NR,-87.9,-11.7,29.852,30.668,1.30077,103.781244,344,14
40:56.0,SGP-M1,5G-NR,-84.1,-11,29.964,30.498,1.300755,103.781254,344,14
40:56.5,SGP-M1,5G-NR,-87.1,-11.3,17.339,20.743,1.300739,103.781264,344,15
40:57.0,SGP-M1,5G-NR,-88.2,-11.2,15.723,14.569,1.300739,103.781264,344,15
40:57.5,SGP-M1,5G-NR,-88.1,-11.4,29.87,30.279,1.300703,103.781284,344,14
40:58.0,SGP-M1,5G-NR,-89.4,-12,29.92,30.448,1.300683,103.781302,344,14
40:58.5,SGP-M1,5G-NR,-88.6,-11.9,29.876,30.378,1.300663,103.781319,344,15
40:59.0,SGP-M1,5G-NR,-87.6,-11.6,29.956,30.435,1.300626,103.781341,344,16
40:59.5,SGP-M1,5G-NR,-88.5,-12.5,30.111,30.929,1.300604,103.781357,344,17
41:00.0,SGP-M1,5G-NR,-87.1,-11.6,29.703,31.627,1.300581,103.781372,344,18
41:00.5,SGP-M1,5G-NR,-90.3,-13.3,29.862,29.905,1.300581,103.781372,344,18
41:01.0,SGP-M1,5G-NR,-90.3,-13.5,23.727,18.001,1.300535,103.781415,344,20
41:01.7,SGP-M1,5G-NR,-82.8,-11,29.15,30.851,1.300535,103.781415,7,20
41:02.0,SGP-M1,5G-NR,-89.6,-12.5,25.563,23.359,1.300484,103.781453,7,23
41:02.9,SGP-M1,5G-NR,-86.1,-11.1,23.454,23.295,1.300484,103.781453,7,23
41:03.5,SGP-M1,5G-NR,-87.8,-11.2,21.27,22.797,1.300432,103.7815,7,25
41:04.0,SGP-M1,5G-NR,-91.4,-11.6,19.912,19.838,1.300405,103.78152,7,25
41:04.2,SGP-M1,5G-NR,-90.8,-11.6,20.945,20.919,1.300377,103.781539,7,25
41:04.7,SGP-M1,5G-NR,-91.2,-11.8,28.576,27.242,1.300353,103.781557,7,25
41:05.2,SGP-M1,5G-NR,-87.2,-10.9,31.937,34.824,1.300329,103.781574,7,25
41:06.0,SGP-M1,5G-NR,-87.8,-11.3,25.538,32.093,1.300329,103.781574,7,25
41:06.5,SGP-M1,5G-NR,-84.5,-10.9,18.053,24.687,1.300284,103.781614,7,23
41:07.0,SGP-M1,5G-NR,-87.5,-11.4,10.49,19.583,1.30027,103.781631,7,22
41:07.5,SGP-M1,5G-NR,-91.6,-12,8.466,17.021,1.300255,103.781648,7,21
41:08.0,SGP-M1,5G-NR,-92.7,-12.5,24.413,5.77,1.300231,103.781683,7,18
41:08.5,SGP-M1,5G-NR,-93.3,-13.7,21.099,22.961,1.300231,103.781683,7,18
41:09.0,SGP-M1,5G-NR,-88.1,-11.5,20.486,20.133,1.300226,103.781704,7,18
41:09.5,SGP-M1,5G-NR,-85.9,-11.5,20.008,21.085,1.30022,103.781725,7,18
41:10.0,SGP-M1,5G-NR,-86.5,-11.6,25.719,26.048,1.300212,103.781768,7,19
41:10.5,SGP-M1,5G-NR,-88.4,-12.3,28.155,29,1.300214,103.781792,7,19
41:11.0,SGP-M1,5G-NR,-86.1,-12,26.512,25.046,1.300216,103.781816,7,19
41:11.8,SGP-M1,5G-NR,-86.4,-11.9,23.415,22.502,1.300216,103.781816,7,19
41:12.3,SGP-M1,5G-NR,-80.1,-10.7,32.09,35.408,1.300228,103.781872,7,21
41:12.8,SGP-M1,5G-NR,-83,-11,36.236,34.177,1.300237,103.7819,7,22
41:13.3,SGP-M1,5G-NR,-87.5,-12.1,27.159,26.906,1.300246,103.781928,7,24
41:14.0,SGP-M1,5G-NR,-87.9,-12.4,21.742,28.168,1.300246,103.781928,7,24
41:14.5,SGP-M1,5G-NR,-85.3,-11.5,35.153,23.683,1.300267,103.781994,7,26
41:15.0,SGP-M1,5G-NR,-84.1,-11.2,30.043,32.588,1.300286,103.78206,7,28
41:15.5,SGP-M1,5G-NR,-85.7,-11.6,27.947,28.338,1.300286,103.78206,7,28
41:16.0,SGP-M1,5G-NR,-86.3,-11.8,30.835,29.293,1.300298,103.782095,7,29
41:16.5,SGP-M1,5G-NR,-83.4,-11.4,31.418,31.828,1.300309,103.782131,7,30
41:17.0,SGP-M1,5G-NR,-83.7,-11,32.31,31.462,1.300324,103.782168,7,30
41:17.6,SGP-M1,5G-NR,-84,-11.3,14.749,21.183,1.300338,103.782205,7,31
41:18.1,SGP-M1,5G-NR,-84.9,-11.6,8.612,7.157,1.300374,103.782275,7,33
41:18.6,SGP-M1,5G-NR,-85.3,-11.2,22.22,18.36,1.300396,103.782312,7,33
41:19.1,SGP-M1,5G-NR,-87,-11.6,24.769,26.065,1.300418,103.78235,7,34
41:20.0,SGP-M1,5G-NR,-84.4,-10.7,28.271,28.135,1.300418,103.78235,7,34
41:20.4,SGP-M1,5G-NR,-85.9,-11,29.572,28.538,1.300466,103.782427,7,36
41:21.0,SGP-M1,5G-NR,-83.6,-10.9,31.791,33.126,1.300491,103.782465,7,36
41:21.5,SGP-M1,5G-NR,-85.5,-11.3,28.207,29.516,1.300516,103.782504,7,36
41:22.0,SGP-M1,5G-NR,-88.3,-11.7,24.938,21.782,1.300541,103.782542,7,36
41:22.5,SGP-M1,5G-NR,-93,-14.2,14.847,13.099,1.300565,103.782581,7,37
41:23.0,SGP-M1,5G-NR,-94,-14.3,8.785,8.754,1.300565,103.782581,7,37
41:23.5,SGP-M1,5G-NR,-97.5,-16.6,4.949,7.432,1.300615,103.782661,7,37
41:24.0,SGP-M1,5G-NR,-100,-17.7,3.472,4.723,1.300665,103.782743,7,37
41:24.5,SGP-M1,5G-NR,-106,-23.3,4.828,2.849,1.300687,103.782782,7,36
41:25.1,SGP-M1,5G-NR,-88.2,-11.8,23.399,23.198,1.300687,103.782782,693,36
41:25.6,SGP-M1,5G-NR,-82.6,-11.2,30.279,32.824,1.300709,103.782821,693,35
41:26.1,SGP-M1,5G-NR,-82.8,-11.3,31.953,31.066,1.30073,103.782853,693,32
41:26.6,SGP-M1,5G-NR,-81.3,-11.3,46.191,50.992,1.300751,103.782886,693,30
41:27.1,SGP-M1,5G-NR,-78.8,-10.8,54.783,55.224,1.300788,103.782939,693,25
41:27.9,SGP-M1,5G-NR,-80.2,-10.8,46.188,42.887,1.300788,103.782939,693,25
41:28.4,SGP-M1,5G-NR,-85.5,-12,23.309,25.198,1.300808,103.782983,693,18
41:28.8,SGP-M1,5G-NR,-85.3,-12.1,8.873,6.664,1.300818,103.782998,693,15
41:29.4,SGP-M1,5G-NR,-91.8,-12,20.787,17.442,1.300827,103.783013,693,12
41:30.0,SGP-M1,5G-NR,-94.4,-11.9,16.033,31.575,1.300827,103.783013,693,12
41:30.5,SGP-M1,5G-NR,-84.9,-10.8,33.811,48.155,1.300828,103.783035,344,7
41:31.0,SGP-M1,5G-NR,-86.1,-11.2,32.387,39.936,1.300828,103.783035,344,7
41:31.5,SGP-M1,5G-NR,-80.9,-10.6,30.009,30.007,1.300832,103.78304,344,0
41:32.0,SGP-M1,5G-NR,-83.1,-10.8,29.809,30.563,1.300827,103.783045,344,0
41:32.6,SGP-M1,5G-NR,-82.2,-10.6,29.925,30.217,1.300827,103.783045,344,0
41:33.1,SGP-M1,5G-NR,-87.6,-11.1,30.194,30.698,1.300829,103.783045,344,0
41:34.0,SGP-M1,5G-NR,-84.6,-10.8,29.591,30.59,1.300829,103.783045,344,0
41:34.5,SGP-M1,5G-NR,-83.8,-10.6,29.898,29.596,1.300829,103.783047,344,0
41:35.0,SGP-M1,5G-NR,-92.2,-12.7,29.839,31.043,1.300829,103.783047,344,0
41:35.5,SGP-M1,5G-NR,-86.5,-10.8,29.917,30.6,1.300829,103.783051,344,0
41:36.0,SGP-M1,5G-NR,-84.8,-10.6,29.835,30.143,1.30083,103.783054,344,0
41:36.6,SGP-M1,5G-NR,-87.4,-10.5,29.914,30.948,1.30083,103.783054,344,0
41:37.5,SGP-M1,5G-NR,-85.1,-11,29.885,30.108,1.30083,103.783054,344,0
41:38.0,SGP-M1,5G-NR,-85.4,-11.9,29.884,30.25,1.30083,103.783054,344,0
41:38.5,SGP-M1,5G-NR,-85.2,-11.3,20.909,23.511,1.300829,103.783054,344,0
41:39.1,SGP-M1,5G-NR,-85.6,-11.1,14.037,12.166,1.300829,103.783054,344,0
41:40.0,SGP-M1,5G-NR,-84.1,-11,29.904,30.54,1.300829,103.783054,344,0
41:40.5,SGP-M1,5G-NR,-86.2,-11.1,29.882,30.825,1.300828,103.783054,344,0
41:41.0,SGP-M1,5G-NR,-87.4,-11.4,29.85,30.33,1.300828,103.783054,344,0
41:41.5,SGP-M1,5G-NR,-87,-11,29.973,30.452,1.300828,103.783053,344,0
41:42.0,SGP-M1,5G-NR,-83.4,-10.6,29.858,30.578,1.300829,103.783053,344,0
41:42.6,SGP-M1,5G-NR,-84,-10.6,29.948,30.468,1.300829,103.783053,344,0
41:43.1,SGP-M1,5G-NR,-80.4,-10.5,29.869,30.554,1.300832,103.783056,344,1
41:44.0,SGP-M1,5G-NR,-82.6,-11.2,29.874,30.558,1.300832,103.783056,344,1
41:44.5,SGP-M1,5G-NR,-84.5,-10.8,29.791,25.995,1.300831,103.783061,344,1
41:45.0,SGP-M1,5G-NR,-90,-10.8,29.978,30.693,1.300831,103.783061,344,1
41:45.5,SGP-M1,5G-NR,-81.2,-11,29.936,30.318,1.300834,103.783061,344,0
41:46.0,SGP-M1,5G-NR,-84,-10.8,29.898,31.398,1.300841,103.783066,344,2
41:46.6,SGP-M1,5G-NR,-82.1,-10.7,29.926,30.17,1.300841,103.783066,344,2
41:47.1,SGP-M1,5G-NR,-82.9,-10.6,29.814,31.286,1.300854,103.78308,344,9
41:48.0,SGP-M1,5G-NR,-83.4,-11,29.921,29.834,1.300854,103.78308,344,9
41:48.5,SGP-M1,5G-NR,-84.5,-10.8,29.813,31.199,1.300872,103.783103,344,13
41:49.0,SGP-M1,5G-NR,-83.2,-10.6,15.843,17.105,1.300872,103.783103,344,13
41:49.5,SGP-M1,5G-NR,-82.7,-10.7,18.906,18.341,1.300893,103.783132,344,14
41:50.0,SGP-M1,5G-NR,-83,-10.5,29.794,30.361,1.300905,103.783148,344,15
41:50.5,SGP-M1,5G-NR,-84,-10.7,29.859,29.768,1.300917,103.783165,344,17
41:51.0,SGP-M1,5G-NR,-85.6,-10.7,29.858,30.495,1.300933,103.783185,344,19
41:51.5,SGP-M1,5G-NR,-85.1,-10.7,30.001,30.494,1.300948,103.783206,344,21
41:52.0,SGP-M1,5G-NR,-84,-10.6,29.79,30.172,1.300981,103.783253,344,23
41:52.5,SGP-M1,5G-NR,-87.8,-10.9,29.961,30.394,1.300998,103.783281,344,24
41:53.0,SGP-M1,5G-NR,-87.5,-10.9,29.856,28.306,1.301015,103.783309,344,25
41:53.7,SGP-M1,5G-NR,-89,-11.1,29.875,31.864,1.301015,103.783309,344,25
41:54.2,SGP-M1,5G-NR,-88.8,-11,29.991,29.243,1.30105,103.783359,344,24
41:54.7,SGP-M1,5G-NR,-90.5,-11.5,29.784,30.208,1.301068,103.783385,344,24
41:55.2,SGP-M1,5G-NR,-91.1,-11.6,29.827,29.059,1.301086,103.783411,344,24
41:56.0,SGP-M1,5G-NR,-91.3,-11.5,29.886,29.729,1.301086,103.783411,344,24
41:56.5,SGP-M1,5G-NR,-90.4,-11.7,29.93,30.123,1.30112,103.783457,344,23
41:57.0,SGP-M1,5G-NR,-90.1,-11.4,29.64,27.007,1.301147,103.783503,344,22
41:57.5,SGP-M1,5G-NR,-89.1,-11.3,29.694,28.46,1.301161,103.783524,344,20
41:58.0,SGP-M1,5G-NR,-91.1,-12,30.256,29.589,1.301174,103.783545,344,19
41:58.5,SGP-M1,5G-NR,-89.4,-11.6,29.431,27.544,1.301174,103.783545,344,19
41:59.0,SGP-M1,5G-NR,-91,-12.1,28.986,29.081,1.301196,103.783574,344,14
41:59.7,SGP-M1,5G-NR,-90.1,-11.6,9.575,15.37,1.301196,103.783574,344,14
42:00.2,SGP-M1,5G-NR,-91.6,-13,14.624,13.314,1.30121,103.783595,344,10
42:01.0,SGP-M1,5G-NR,-91.3,-12.4,29.836,31.719,1.30121,103.783595,344,10
42:01.5,SGP-M1,5G-NR,-89.2,-12.3,29.879,31.661,1.301221,103.783615,344,9
42:02.0,SGP-M1,5G-NR,-91.4,-12.7,29.868,28.69,1.301221,103.783615,344,9
42:02.5,SGP-M1,5G-NR,-91.2,-13.2,29.907,30.626,1.301231,103.783636,344,8
42:03.0,SGP-M1,5G-NR,-79.2,-10.6,29.885,30.572,1.301233,103.783648,414,4
42:03.6,SGP-M1,5G-NR,-85.2,-10.9,29.861,30.28,1.301233,103.783648,414,4
42:04.0,SGP-M1,5G-NR,-84,-10.9,29.898,30.905,1.301233,103.783651,414,0
42:05.0,SGP-M1,5G-NR,-86,-11.9,29.875,30.336,1.301233,103.783651,414,0
42:05.5,SGP-M1,5G-NR,-82.6,-11.1,29.914,30.824,1.301234,103.783652,414,0
