Time,Time,Operator,Technology,SS-RSRP​ (PCell),SS-RSRQ​ (PCell),IP Thrpt UL,Network Thrpt UL,Lat,Long,Cell Id,PCI​ (PCell),Speed o.g.
2024-11-22 12:16:46.730,,SGP-M1,,,,,,,,,,
2024-11-22 12:16:46.730,,SGP-M1,5G-NR,,,,,,,,,
2024-11-22 12:16:50.712,,SGP-M1,5G-NR,-85.8,-12.6,,,,,,705,
2024-11-22 12:16:51.285,,SGP-M1,5G-NR,-85.8,-12.6,,0.002,,,,705,
2024-11-22 12:16:51.297,,SGP-M1,5G-NR,-85.8,-12.6,,0.143,,,,705,
2024-11-22 12:16:51.371,,SGP-M1,5G-NR,-81.0,-11.8,,0.143,,,,705,
2024-11-22 12:16:51.430,,SGP-M1,5G-NR,-81.0,-11.8,,,,,,705,
2024-11-22 12:16:51.939,,SGP-M1,5G-NR,-78.9,-10.7,,,,,,705,
2024-11-22 12:16:51.979,,SGP-M1,5G-NR,-78.9,-10.7,,,1.292227,103.809713,,705,2
2024-11-22 12:16:51.992,,SGP-M1,5G-NR,-78.9,-10.7,,,1.292219,103.809715,,705,2
2024-11-22 12:16:52.001,,SGP-M1,5G-NR,-78.9,-10.7,0.0,,1.292219,103.809715,,705,2
2024-11-22 12:16:52.003,,SGP-M1,5G-NR,-78.9,-10.7,0.0,,1.292217,103.809720,,705,0
2024-11-22 12:16:52.018,,SGP-M1,5G-NR,-78.9,-10.7,0.0,,1.292215,103.809724,,705,0
2024-11-22 12:16:52.086,,SGP-M1,5G-NR,-78.9,-10.7,0.0,,1.292211,103.809726,,705,0
2024-11-22 12:16:52.097,,SGP-M1,5G-NR,-78.9,-10.7,0.0,,1.292212,103.809726,,705,0
2024-11-22 12:16:52.110,,SGP-M1,5G-NR,-78.9,-10.7,0.0,,1.292213,103.809724,,705,0
2024-11-22 12:16:52.128,,SGP-M1,5G-NR,-78.9,-10.7,0.0,,1.292210,103.809722,,705,0
2024-11-22 12:16:52.144,,SGP-M1,5G-NR,-78.9,-10.7,0.0,,1.292206,103.809718,,705,1
2024-11-22 12:16:52.156,,SGP-M1,5G-NR,-78.9,-10.7,0.0,,1.292203,103.809712,,705,1
2024-11-22 12:16:52.169,,SGP-M1,5G-NR,-78.9,-10.7,0.0,,1.292202,103.809709,,705,0
2024-11-22 12:16:52.180,,SGP-M1,5G-NR,-78.9,-10.7,0.0,,1.292196,103.809711,,705,2
2024-11-22 12:16:52.194,,SGP-M1,5G-NR,-78.9,-10.7,0.0,,1.292187,103.809717,,705,4
2024-11-22 12:16:52.221,,SGP-M1,5G-NR,-78.9,-10.7,0.0,,1.292179,103.809726,,705,3
2024-11-22 12:16:52.236,,SGP-M1,5G-NR,-78.9,-10.7,0.0,,1.292172,103.809738,,705,5
2024-11-22 12:16:52.246,,SGP-M1,5G-NR,-78.9,-10.7,0.0,,1.292166,103.809752,,705,5
2024-11-22 12:16:52.280,,SGP-M1,5G-NR,-78.9,-10.7,0.0,0.002,1.292166,103.809752,,705,5
2024-11-22 12:16:52.487,,SGP-M1,5G-NR,-78.9,-11.1,0.0,0.002,1.292166,103.809752,,705,5
2024-11-22 12:16:52.500,,SGP-M1,5G-NR,-78.9,-11.1,0.003,0.002,1.292166,103.809752,,705,5
2024-11-22 12:16:52.764,,SGP-M1,5G-NR,-78.9,-11.1,0.003,0.116,1.292166,103.809752,,705,5
2024-11-22 12:16:52.974,,SGP-M1,5G-NR,-77.6,-11.1,0.003,0.116,1.292166,103.809752,,705,5
2024-11-22 12:16:53.001,,SGP-M1,5G-NR,-77.6,-11.1,0.002,0.116,1.292166,103.809752,,705,5
2024-11-22 12:16:53.020,,SGP-M1,5G-NR,-77.6,-11.1,0.002,0.116,1.292165,103.809764,,705,4
2024-11-22 12:16:53.044,,SGP-M1,5G-NR,-77.6,-11.1,0.002,,1.292165,103.809764,,705,4
2024-11-22 12:16:53.156,,SGP-M1,5G-NR,-77.6,-11.1,0.002,0.088,1.292165,103.809764,,705,4
2024-11-22 12:16:53.167,,SGP-M1,5G-NR,-77.6,-11.1,0.002,0.062,1.292165,103.809764,,705,4
2024-11-22 12:16:53.176,,SGP-M1,5G-NR,-77.6,-11.1,0.002,0.203,1.292165,103.809764,,705,4
2024-11-22 12:16:53.188,,SGP-M1,5G-NR,-77.6,-11.1,0.002,0.016,1.292165,103.809764,,705,4
