Time,SS-RSRP,SS-RSRQ,SS-SINR,Distance to BTS,Operator,Home Operator,Technology,MCC,MNC,Latitude,Longitude,PCI 5G NR
12/10/2024 11:38:20,-102.6,-14.8,,,SingTel,SingTel,5G NR,525,1,1.27013700,103.86416600,591
12/10/2024 11:38:20,-108.9,-20.4,,,SingTel,SingTel,5G NR,525,1,1.27013700,103.86416600,715
12/10/2024 11:38:20,-138.9,-34.4,,,SingTel,SingTel,5G NR,525,1,1.27013200,103.86417900,422
12/10/2024 11:38:20,-99.5,-13.4,,,SingTel,SingTel,5G NR,525,1,1.27013200,103.86417900,591
12/10/2024 11:38:20,-105.8,-19.6,,,SingTel,SingTel,5G NR,525,1,1.27013200,103.86417900,715
12/10/2024 11:38:19,-111.9,-20.7,,,SingTel,SingTel,5G NR,525,1,1.27013200,103.86417900,422
12/10/2024 11:38:19,-102.5,-15.1,,,SingTel,SingTel,5G NR,525,1,1.27013200,103.86417900,591
12/10/2024 11:38:19,-107.1,-19.1,,,SingTel,SingTel,5G NR,525,1,1.27013200,103.86417900,715
12/10/2024 11:38:19,-108.7,-19.8,,,SingTel,SingTel,5G NR,525,1,1.27013200,103.86417900,422
12/10/2024 11:38:19,-102.7,-15.4,,,SingTel,SingTel,5G NR,525,1,1.27013200,103.86417900,591
12/10/2024 11:38:18,-101.3,-14.4,,,SingTel,SingTel,5G NR,525,1,1.27012800,103.86419200,591
12/10/2024 11:38:18,-114.4,-23,,,SingTel,SingTel,5G NR,525,1,1.27012800,103.86419200,762
12/10/2024 11:38:18,-100,-13.5,,,SingTel,SingTel,5G NR,525,1,1.27012400,103.86420600,591
12/10/2024 11:38:18,-113.3,-22.3,,,SingTel,SingTel,5G NR,525,1,1.27012400,103.86420600,667
12/10/2024 11:38:18,-113.7,-22.4,,,SingTel,SingTel,5G NR,525,1,1.27012400,103.86420600,762
12/10/2024 11:38:17,-101.1,-14.2,,,SingTel,SingTel,5G NR,525,1,1.27012400,103.86420600,591
12/10/2024 11:38:17,-116.3,-24,,,SingTel,SingTel,5G NR,525,1,1.27012400,103.86420600,667
12/10/2024 11:38:17,-121.5,-25.5,,,SingTel,SingTel,5G NR,525,1,1.27012400,103.86420600,715
12/10/2024 11:38:17,-101.2,-14.2,,,SingTel,SingTel,5G NR,525,1,1.27012400,103.86420600,591
12/10/2024 11:38:17,-116.3,-24.5,,,SingTel,SingTel,5G NR,525,1,1.27012400,103.86420600,667
12/10/2024 11:38:17,-134.4,-33.2,,,SingTel,SingTel,5G NR,525,1,1.27012400,103.86420600,715
12/10/2024 11:38:17,-130.7,-31.6,,,SingTel,SingTel,5G NR,525,1,1.27012400,103.86420600,716
12/10/2024 11:38:16,-130.1,-31.7,,,SingTel,SingTel,5G NR,525,1,1.27012000,103.86422100,422
12/10/2024 11:38:16,-100.8,-14.4,,,SingTel,SingTel,5G NR,525,1,1.27012000,103.86422100,591
12/10/2024 11:38:16,-119.5,-26.8,,,SingTel,SingTel,5G NR,525,1,1.27012000,103.86422100,667
12/10/2024 11:38:16,-108.6,-21.7,,,SingTel,SingTel,5G NR,525,1,1.27012000,103.86422100,715
12/10/2024 11:38:16,-112.4,-22.1,,,SingTel,SingTel,5G NR,525,1,1.27012000,103.86422100,716
12/10/2024 11:38:16,-122.9,-27.4,,,SingTel,SingTel,5G NR,525,1,1.27012000,103.86422100,762
12/10/2024 11:38:16,-132.8,-31.7,,,SingTel,SingTel,5G NR,525,1,1.27011600,103.86423800,422
12/10/2024 11:38:16,-101.3,-15.2,,,SingTel,SingTel,5G NR,525,1,1.27011600,103.86423800,591
12/10/2024 11:38:16,-111.3,-22.1,,,SingTel,SingTel,5G NR,525,1,1.27011600,103.86423800,667
12/10/2024 11:38:16,-107.7,-19.8,,,SingTel,SingTel,5G NR,525,1,1.27011600,103.86423800,715
12/10/2024 11:38:16,-114.1,-23.7,,,SingTel,SingTel,5G NR,525,1,1.27011600,103.86423800,716
12/10/2024 11:38:16,-129.3,-31.4,,,SingTel,SingTel,5G NR,525,1,1.27011600,103.86423800,762
12/10/2024 11:38:15,-136.5,-33.6,,,SingTel,SingTel,5G NR,525,1,1.27011600,103.86423800,422
12/10/2024 11:38:15,-101.7,-15.2,,,SingTel,SingTel,5G NR,525,1,1.27011600,103.86423800,591
12/10/2024 11:38:15,-107.4,-19,,,SingTel,SingTel,5G NR,525,1,1.27011600,103.86423800,667
12/10/2024 11:38:15,-115.6,-24.6,,,SingTel,SingTel,5G NR,525,1,1.27011600,103.86423800,762
12/10/2024 11:38:14,-100,-14.1,,,SingTel,SingTel,5G NR,525,1,1.27011200,103.86425600,591
12/10/2024 11:38:14,-107.8,-19.2,,,SingTel,SingTel,5G NR,525,1,1.27011200,103.86425600,667
12/10/2024 11:38:14,-116.4,-24.7,,,SingTel,SingTel,5G NR,525,1,1.27011200,103.86425600,762
12/10/2024 11:38:14,-109.1,-21.5,,,SingTel,SingTel,5G NR,525,1,1.27011200,103.86425600,422
