Lat,Long,SS-RSRP,Network Thrpt DL
1.299961,103.781429,-81,283.355
1.299961,103.781429,-81,279.034
1.299961,103.781429,-79.2,279.034
1.299961,103.781429,-79.2,279.034
1.299961,103.781429,-79.2,279.034
1.299961,103.781429,-79.2,279.034
1.299961,103.781429,-79.2,297.323
1.299961,103.781429,-77.6,297.323
1.299961,103.781429,-77.6,297.323
1.299961,103.781429,-77.6,297.323
1.299961,103.781429,-77.6,297.323
1.299961,103.781429,-77.6,302.392
1.299961,103.781429,-74.7,302.392
1.299961,103.781429,-74.7,302.392
1.299961,103.781429,-74.7,302.392
1.299961,103.781429,-74.7,302.392
1.299961,103.781429,-74.7,286.636
1.299961,103.781429,-76.3,286.636
1.299961,103.781429,-76.3,286.636
1.299961,103.781429,-76.3,286.636
1.299961,103.781429,-76.3,286.636
1.299961,103.781429,-76.3,286.636
1.299961,103.781429,-76.3,289.906
1.299961,103.781429,-79.4,289.906
1.299961,103.781429,-79.4,289.906
1.299961,103.781429,-79.4,289.906
1.299961,103.781429,-79.4,289.906
1.299961,103.781429,-79.4,289.906
1.299961,103.781429,-79.4,287.702
1.299961,103.781429,-78.4,287.702
1.299961,103.781429,-78.4,287.702
1.299961,103.781429,-78.4,287.702
1.299961,103.781429,-78.4,287.702
1.299961,103.781429,-78.4,287.702
1.299961,103.781429,-78.4,287.15
1.299959,103.781433,-78.4,287.15
1.299959,103.781433,-77.3,287.15
1.299959,103.781433,-77.3,287.15
1.299959,103.781433,-77.3,287.15
1.299959,103.781433,-77.3,287.15
1.299959,103.781433,-77.3,287.15
1.299959,103.781433,-77.3,285.289
1.299959,103.781433,-76.9,285.289
1.299959,103.781433,-76.9,285.289
1.299959,103.781433,-76.9,285.289
1.299959,103.781433,-76.9,285.289
1.299959,103.781433,-76.9,285.289
1.299959,103.781433,-76.9,287.303
1.299959,103.781433,-75.9,287.303
1.299959,103.781433,-75.9,287.303
1.299959,103.781433,-75.9,287.303
1.299959,103.781433,-75.9,287.303
1.299959,103.781433,-75.9,277.605
1.299959,103.781433,-70.7,277.605
1.299959,103.781433,-70.7,277.605
1.299959,103.781433,-70.7,277.605
1.299959,103.781433,-70.7,277.605
1.299959,103.781433,-70.7,277.605
1.299959,103.781433,-70.7,271.7
1.299959,103.781433,-74.2,271.7
1.299959,103.781433,-74.2,271.7
1.299959,103.781433,-74.2,271.7
1.299959,103.781433,-74.2,271.7
1.299959,103.781433,-74.2,271.7
1.299959,103.781433,-74.2,246.591
1.299959,103.781433,-72,246.591
1.299959,103.781433,-72,246.591
1.299959,103.781433,-72,246.591
1.299959,103.781433,-72,246.591
1.299959,103.781433,-72,246.591
1.299959,103.781433,-72,268.84
1.299959,103.781433,-70.6,268.84
1.299959,103.781433,-70.6,268.84
1.299959,103.781433,-70.6,268.84
1.299959,103.781433,-70.6,268.84
1.299959,103.781433,-70.6,244.218
1.299959,103.781433,-73.8,244.218
1.299959,103.781433,-73.8,244.218
1.299959,103.781433,-73.8,244.218
1.299959,103.781433,-73.8,244.218
1.299959,103.781433,-73.8,262.04
1.299957,103.781437,-73.8,262.04
1.299957,103.781437,-74.3,262.04
1.299957,103.781437,-74.3,262.04
1.299957,103.781437,-74.3,262.04
1.299957,103.781437,-74.3,262.04
1.299957,103.781437,-74.3,238.692
1.299957,103.781437,-73.7,238.692
1.299957,103.781437,-73.7,238.692
1.299957,103.781437,-73.7,238.692
1.299957,103.781437,-73.7,238.692
1.299957,103.781437,-73.7,195.309
1.299957,103.781437,-73.7,195.309
1.299957,103.781437,-73.7,195.309
1.299957,103.781437,-74.2,195.309
1.299957,103.781437,-74.2,195.309
1.299957,103.781437,-74.2,195.309
1.299957,103.781437,-74.2,204.164
1.299957,103.781437,-74.2,204.164
1.299957,103.781437,-74.2,204.164
1.299957,103.781437,-73.6,204.164
1.299957,103.781437,-73.6,204.164
1.299957,103.781437,-73.6,204.164
1.299957,103.781437,-73.6,207.82
1.299957,103.781437,-73.6,207.82
1.299957,103.781437,-73.6,207.82
1.299957,103.781437,-73.8,207.82
1.299957,103.781437,-73.8,207.82
1.299957,103.781437,-73.8,207.82
1.299957,103.781437,-73.8,209.096
1.299957,103.781437,-73.8,209.096
1.299957,103.781437,-73.8,209.096
1.299957,103.781437,-73.8,209.096
1.299957,103.781437,-73.8,209.096
1.299957,103.781437,-73.8,209.096
1.299957,103.781437,-73.8,222.196
1.299957,103.781437,-73.8,222.196
1.299957,103.781437,-73.8,222.196
1.299957,103.781437,-72.5,222.196
1.299957,103.781437,-72.5,222.196
1.299957,103.781437,-72.5,222.196
1.299957,103.781437,-72.5,197.286
1.299953,103.781435,-72.5,197.286
1.299953,103.781435,-72.5,197.286
1.299953,103.781435,-70.3,197.286
